addr,name,first_reg,holding_qty,seed_reg,seed_value
1,[S]温湿度-导轨V1.5,0,2,0,0
2,[S]水浸-V1.1,2,17,2,0
3,[S]PT100-FTX458,0,4,0,0
4,[S]烟雾-SD100,0,1,0,0
5,[S]CO2-MH410,0,1,0,0
6,[S]PM2.5-AQ100,0,2,0,0
7,[S]光照-LS200,0,1,0,0
8,[S]噪声-NS300,0,1,0,0
9,[S]气压-BP100,0,1,0,0
10,[S]风速-WS500,0,2,0,0
11,[S]液位-LT400,0,1,0,0
12,[S]流量-FM200,0,2,0,0
13,[S]压力-PT300,0,1,0,0
14,[S]电表-DTS666,0,2,0,0
15,[S]UPS-UP500,0,2,0,0
16,[S]门禁-AC100,0,2,0,0
17,[S]人体-PIR200,0,1,0,0
18,[S]振动-VS100,0,2,0,0
19,[S]SF6-SF600,0,1,0,0
20,[S]臭氧-O3M100,0,1,0,0
21,[S]甲醛-HCHO50,0,1,0,0
22,[S]TVOC-VOC300,0,1,0,0
23,[S]继电器-RLY8,0,1,0,0
24,[S]DI采集-IO16,0,1,0,0
25,[S]AI采集-AI8,0,2,0,0
26,[S]变频器-VFD750,0,2,0,0
27,[S]软启动-SS100,0,2,0,0
28,[S]空调-ACU200,0,2,0,0
29,[S]柴发-DG500,0,2,0,0
30,[S]BMS-BMS48,0,2,0,0
31,[S]逆变器-PV1000,0,2,0,0
32,[S]变压器-TT200,0,2,0,0
